Variant,Number of page views,GMV (in $),Number of add to cart,Clicks on media,Time on Page (sec),user_id
B,4,0.0,4,0,28,1697
B,6,0.0,1,0,46,1698
B,5,0.0,4,1,28,1699
B,4,0.0,0,0,48,1700
B,3,111.09,1,0,2,1701
B,4,110.58,3,0,13,1702
B,3,0.0,3,0,29,1703
B,6,0.0,3,2,18,1704
B,11,0.0,1,3,4,1705
B,3,0.0,5,0,9,1706
B,5,0.0,2,0,8,1707
B,4,0.0,0,2,7,1708
B,6,0.0,2,1,9,1709
B,3,0.0,3,1,15,1710
B,8,0.0,1,2,40,1711
B,2,0.0,3,0,28,1712
B,6,0.0,0,4,37,1713
B,6,99.37,2,2,45,1714
B,7,0.0,4,0,12,1715
B,3,0.0,6,0,9,1716
B,7,0.0,2,1,2,1717
B,4,0.0,4,0,55,1718
B,5,0.0,2,3,2,1719
B,5,0.0,6,2,28,1720
B,5,0.0,5,0,10,1721
B,6,0.0,2,1,61,1722
B,6,65.46,1,2,12,1723
B,5,0.0,4,0,35,1724
B,5,97.15,3,1,7,1725
B,4,102.36,2,1,8,1726
B,5,0.0,2,2,19,1727
B,2,102.96,4,1,128,1728
B,9,0.0,4,3,15,1729
B,4,0.0,6,3,57,1730
B,1,0.0,3,0,32,1731
B,3,123.2,3,2,33,1732
B,6,0.0,3,0,12,1733
B,7,0.0,4,1,11,1734
B,5,0.0,6,0,5,1735
B,3,131.75,4,1,69,1736
B,5,0.0,2,0,66,1737
B,5,0.0,1,2,29,1738
B,4,0.0,1,1,8,1739
B,1,0.0,2,0,6,1740
B,3,0.0,3,1,92,1741
B,4,0.0,4,2,2,1742
B,6,0.0,3,2,39,1743
B,9,0.0,4,0,10,1744
B,4,0.0,2,2,12,1745
B,2,0.0,3,1,37,1746
B,3,0.0,4,0,2,1747
B,7,0.0,1,1,9,1748
B,6,0.0,4,1,63,1749
B,8,0.0,3,3,25,1750
B,5,73.3,5,1,29,1751
B,3,0.0,0,0,30,1752
B,6,0.0,2,3,2,1753
B,4,0.0,0,0,5,1754
B,6,0.0,1,3,14,1755
B,3,0.0,2,0,10,1756
B,8,111.08,7,2,11,1757
B,8,0.0,3,1,32,1758
B,6,0.0,3,3,1,1759
B,6,0.0,3,2,23,1760
B,1,0.0,1,1,1,1761
B,7,0.0,2,2,2,1762
B,2,0.0,1,0,11,1763
B,5,0.0,3,1,38,1764
B,5,0.0,1,1,4,1765
B,4,0.0,3,1,17,1766
B,2,0.0,6,1,24,1767
B,12,0.0,4,2,6,1768
B,8,117.9,2,3,15,1769
B,5,0.0,2,3,50,1770
B,11,0.0,2,1,15,1771
B,10,0.0,1,4,4,1772
B,4,116.18,2,1,21,1773
B,7,0.0,0,2,19,1774
B,5,0.0,3,1,1,1775
B,11,0.0,3,2,2,1776
B,5,0.0,3,0,4,1777
B,7,0.0,4,4,4,1778
B,4,0.0,1,2,7,1779
B,4,0.0,1,0,13,1780
B,1,0.0,1,1,10,1781
B,2,0.0,2,1,46,1782
B,4,0.0,0,2,20,1783
B,3,0.0,0,0,43,1784
B,3,0.0,2,0,16,1785
B,11,0.0,0,3,2,1786
B,9,0.0,2,1,13,1787
B,5,0.0,2,1,36,1788
B,8,0.0,2,2,5,1789
B,3,0.0,1,0,2,1790
B,10,0.0,5,2,9,1791
B,4,0.0,4,3,11,1792
B,7,0.0,1,1,8,1793
B,2,0.0,2,0,3,1794
B,3,0.0,2,1,6,1795
B,6,0.0,5,2,24,1796
B,8,0.0,3,3,10,1797
B,6,0.0,3,2,21,1798
B,4,0.0,1,0,16,1799
B,1,0.0,2,0,17,1800
B,9,0.0,0,3,6,1801
B,5,0.0,2,3,16,1802
B,3,0.0,3,1,1,1803
B,3,0.0,0,0,12,1804
B,3,0.0,4,0,18,1805
B,3,110.93,2,0,5,1806
B,4,0.0,6,2,7,1807
B,4,0.0,3,0,6,1808
B,6,0.0,6,1,2,1809
B,3,0.0,2,0,9,1810
B,6,0.0,1,1,80,1811
B,6,0.0,2,1,9,1812
B,3,0.0,2,1,13,1813
B,6,0.0,4,2,22,1814
B,5,0.0,1,1,22,1815
B,7,0.0,4,2,62,1816
B,5,0.0,3,1,40,1817
B,6,0.0,2,1,33,1818
B,4,0.0,2,1,63,1819
B,8,0.0,4,2,6,1820
B,11,0.0,0,4,20,1821
B,6,0.0,3,2,45,1822
B,3,0.0,6,1,21,1823
B,4,0.0,2,1,78,1824
B,8,0.0,2,2,3,1825
B,6,0.0,1,2,12,1826
B,5,0.0,2,0,78,1827
B,6,0.0,4,1,10,1828
B,4,0.0,1,1,28,1829
B,5,0.0,6,0,1,1830
B,14,0.0,2,3,25,1831
B,4,0.0,2,1,56,1832
B,6,0.0,5,4,10,1833
B,2,0.0,3,1,1,1834
B,5,0.0,1,1,1,1835
B,5,118.99,2,1,46,1836
B,4,0.0,3,0,27,1837
B,3,0.0,0,0,3,1838
B,6,0.0,2,2,2,1839
B,5,0.0,3,0,34,1840
B,8,0.0,3,1,35,1841
B,8,0.0,2,4,3,1842
B,9,0.0,2,3,8,1843
B,3,0.0,0,1,32,1844
B,6,0.0,2,3,16,1845
B,9,0.0,3,3,65,1846
B,3,0.0,4,0,14,1847
B,6,0.0,2,1,24,1848
B,2,0.0,0,0,15,1849
B,5,0.0,0,1,59,1850
B,10,0.0,3,4,11,1851
B,7,0.0,2,2,6,1852
B,6,0.0,1,0,9,1853
B,7,0.0,6,1,40,1854
B,5,0.0,3,0,15,1855
B,5,0.0,3,2,9,1856
B,5,0.0,2,2,17,1857
B,5,0.0,5,1,3,1858
B,2,0.0,6,0,1,1859
B,4,0.0,5,1,7,1860
B,7,89.06,4,2,20,1861
B,7,0.0,2,2,26,1862
B,6,0.0,3,3,36,1863
B,9,0.0,7,5,54,1864
B,9,0.0,7,6,11,1865
B,6,0.0,1,2,28,1866
B,9,0.0,2,4,2,1867
B,10,0.0,3,2,2,1868
B,7,0.0,2,3,3,1869
B,3,0.0,6,2,13,1870
B,7,0.0,2,3,5,1871
B,6,0.0,2,3,7,1872
B,3,0.0,0,0,22,1873
B,9,94.04,4,1,10,1874
B,1,0.0,5,0,17,1875
B,5,95.7,2,2,11,1876
B,2,0.0,2,0,4,1877
B,9,99.84,6,2,2,1878
B,6,0.0,3,2,6,1879
B,1,0.0,2,0,2,1880
B,3,0.0,4,2,20,1881
B,4,0.0,4,1,33,1882
B,4,0.0,0,2,9,1883
B,6,0.0,0,2,11,1884
B,9,0.0,3,3,35,1885
B,5,0.0,2,1,6,1886
B,10,0.0,3,1,3,1887
B,10,0.0,2,5,15,1888
B,6,0.0,4,2,22,1889
B,2,0.0,4,1,19,1890
B,3,0.0,2,1,26,1891
B,12,0.0,6,2,2,1892
B,6,0.0,6,2,12,1893
B,11,0.0,3,1,6,1894
B,4,0.0,3,1,30,1895
B,5,0.0,2,1,43,1896
B,3,0.0,2,1,7,1897
B,3,0.0,0,1,3,1898
B,5,0.0,3,3,6,1899
B,3,0.0,0,1,3,1900
B,8,0.0,6,3,8,1901
B,6,0.0,1,2,16,1902
B,4,0.0,1,1,75,1903
B,3,0.0,2,0,11,1904
B,9,0.0,1,1,6,1905
B,5,0.0,3,1,4,1906
B,3,0.0,0,0,4,1907
B,4,0.0,4,2,5,1908
B,7,0.0,1,2,30,1909
B,5,0.0,1,2,2,1910
B,6,0.0,5,4,123,1911
B,9,0.0,3,1,16,1912
B,4,0.0,4,1,17,1913
B,5,0.0,2,2,10,1914
B,6,0.0,3,1,25,1915
B,7,0.0,2,1,14,1916
B,3,0.0,2,1,9,1917
B,4,0.0,1,3,7,1918
B,5,0.0,6,2,54,1919
B,5,101.1,3,1,8,1920
B,4,0.0,5,1,12,1921
B,1,103.2,1,0,9,1922
B,1,0.0,1,0,2,1923
B,2,0.0,3,0,5,1924
B,7,0.0,0,1,5,1925
B,0,0.0,0,0,25,1926
B,9,0.0,1,3,11,1927
B,5,0.0,3,2,32,1928
B,4,0.0,3,3,26,1929
B,0,0.0,0,0,5,1930
B,6,87.97,1,0,17,1931
B,6,0.0,2,2,28,1932
B,2,0.0,0,2,21,1933
B,3,0.0,2,1,19,1934
B,5,0.0,2,0,28,1935
B,7,0.0,3,3,2,1936
B,5,0.0,2,0,27,1937
B,5,0.0,7,1,7,1938
B,6,0.0,1,1,18,1939
B,4,0.0,7,2,6,1940
B,5,0.0,0,1,38,1941
B,4,0.0,3,2,14,1942
B,8,0.0,5,1,22,1943
B,6,0.0,3,1,33,1944
B,7,0.0,1,4,47,1945
B,6,0.0,1,1,27,1946
B,4,0.0,7,1,4,1947
B,4,0.0,3,1,40,1948
B,3,0.0,2,1,20,1949
B,5,0.0,5,0,20,1950
B,4,0.0,1,1,53,1951
B,10,0.0,2,3,6,1952
B,8,0.0,1,2,6,1953
B,2,0.0,3,0,15,1954
B,3,0.0,2,1,29,1955
B,7,0.0,3,2,13,1956
B,4,0.0,4,0,21,1957
B,6,0.0,3,2,13,1958
B,4,0.0,1,2,20,1959
B,5,0.0,0,0,36,1960
B,5,0.0,2,1,5,1961
B,9,99.71,6,3,25,1962
B,5,0.0,1,0,32,1963
B,4,0.0,2,0,13,1964
B,3,0.0,2,1,9,1965
B,6,0.0,3,2,1,1966
B,4,0.0,2,0,33,1967
B,8,0.0,2,3,9,1968
B,10,0.0,4,3,10,1969
B,8,105.9,5,1,9,1970
B,8,0.0,1,2,15,1971
B,6,0.0,8,4,25,1972
B,2,0.0,0,0,31,1973
B,3,0.0,3,1,11,1974
B,13,0.0,3,4,23,1975
B,5,0.0,2,0,27,1976
B,2,0.0,1,0,8,1977
B,6,0.0,5,0,3,1978
B,6,0.0,2,1,47,1979
B,4,0.0,3,0,24,1980
B,8,0.0,7,3,22,1981
B,10,0.0,0,7,2,1982
B,10,0.0,2,1,35,1983
B,4,0.0,1,1,18,1984
B,3,0.0,3,0,39,1985
B,5,0.0,4,0,76,1986
B,7,0.0,2,1,65,1987
B,5,0.0,2,1,40,1988
B,4,0.0,4,2,1,1989
B,6,0.0,3,1,45,1990
B,5,100.25,2,1,2,1991
B,5,0.0,2,1,40,1992
B,2,0.0,0,0,7,1993
B,8,0.0,3,4,20,1994
B,3,0.0,1,0,1,1995
B,3,0.0,1,2,31,1996
B,3,0.0,2,0,3,1997
B,4,87.08,2,1,11,1998
B,7,0.0,5,6,35,1999
